NameDeposit	OtherNames	CountryCode	Country	StateProvince	LatitudeSeconds	LatitudeMinutes	LatitudeDegrees	LongitudeSeconds	LongitudeMinutes	LongitudeDegrees	LongitudeDecimal	LatitudeDecimal	Type	DiscoveryDate	StartupDate	Includes	Prospect?	Comments	Map Number	AgeMY	Tonnage	Copper grade	Molybdenum grade	Silver grade	Gold grade	References	Minerals	Deposit Age	Assoc Deposits less 5km	Assoc Deposits less 10km	RocksinDeposit	RocksOnMap	RocksOnMapInDeposit	EmplacementDepthkm	SulfideArea	SulfideBAxis	SulfideAAxis	AlterAAxis	AlterBAxix	AlterArea	OreArea	OreAAxis	OreBAxis
Kundalyan		AFGN	Afghanistan	Zabul	46	18	32	58	31	66	66.53277778	32.31277778	17				Yes	"Resources mostly in skarn: 21,400 t Cu, 1.6 t Au, and 133.4 t Mo at average of 1.21% Cu (0.66 to 4.03%), 0.9 g/t Au (0.3 to 3.1 g/t), 0.14% Mo, up to 10 g/t Ag and 0.03% Bi. "	407			0	0	0	0	"Abdullah, S., Chmiriov, V.M., Stazhilo-Alekseev, K.F., Dronov, V.I., Kofarsky, A.K., and Malyarov, E.P., 1977, Mineral Resources of Afghanistan: Republic of Afghanistan, Ministry of Mines and Industries, Afghan Geological and Mines Survey, 419 p. MMAJ, 1998, Mineral Resources Map of Asia: Metal Mining Agency of Japan, 1 sheet and 43 p."	"chalcocite, bornite, chalcopyrite, enargite, gold, hematite, kaolinite, molybdenite, magnetite, pyrite, sphalerite, tennantite "		18b		"dacite dike, hornfels, quartz porphyry, skarn"	metamorphic rocks	"diorite, limestone"										
Agua Rica	Mi Vida	AGTN	Argentina	Catamarca	-15	-22	-27	-48	-16	-66	-66.28	-27.37083333	17	"1900, 1965"				0.2% Cu cut-off grade. Exposed. In Farallon Negro volcanic region.	323	5.5	1710	0.43	0.032	3.2	0.17	"Bargmann, C.J., 2000, Agua Rica prospect, Catamarca Province, Argentina; an example of deposit evaluation based on net smelter return: Institution of Mining and Metallurgy Transactions, v. 109, p. 126–132.Koukharsky, M., and Mirré, J.C., 1976, Mi Vida prospect: a porphyry copper-type deposit in northwestern Argentina: Economic Geology, v. 71, p. 849–863.Perelló, J., Rojas, N., Devaux, C., Fava, L., Etchart, E., and Harman, P., 1998, Discovery of the Agua Rica Porphyry Cu-Mo-Au deposit, Catamarca Province, northwestern Argentina, Part 2. Geology, in Porter, T.M., ed., Porphyry and hydrothermal copper & gold deposits—a global perspective. Conference Proceedings: Australian Mineral Foundation, Glenside, South Australia, p.119–134.Roco, R., and Koukharsky, M., 1999, El porfiro cupro-molibdenifero Agua Rica y las manifestationes epitermales asociadas, Catamarca, in Zappettini, E.O., ed., Recursos minerales de la Republica Argentina: Instituto de Geologia y Recursos Minerales SEGEMAR, Anales 35, Buenos Aires, p. 1479–1492.Rojas, N., Perelló, J., Harman, P., Cabello, J., Devaux, C., Fava, L., and Etchart, E., 1998, Discovery of the Agua Rica Porphyry Cu-Mo-Au deposit, Catamarca Province, northwestern Argentina, Part 1. Exploration and discovery, in Porter, T.M., ed., Porphyry and hydrothermal copper & gold deposits—a global perspective. Conference Proceedings: Australian Mineral Foundation, Glenside, South Australia, p.111–119.Sasso, A.M., and Clark, A.H., 1998, The Farallón Negro Group, northwest Argentina: magmatic, hydrothermal and tectonic evolution and implications for Cu-Au metallogeny in the Andean back-arc: SEG (Society of Economic Geologists) Newsletter, no. 34, p. 1, 8–18.http://www.miramarmining.com/s/Presentations.asp"	"actinolite, alunite, andalusite, anhydrite/gypsum, barite, biotite, bornite, carbonate, chalcocite/digenite, chalcopyrite, chlorite, corundum, covellite, enargite, galena, jarosite, kaolinite/illite/dickite, magnetite, marcasite, molybdenite, pyrite, pyrophyllite, rhodochrosite, rutile, smectite, sericite, sphalerite, sulfur, tetrahedrite/tennantite, tourmaline, zunyite "	6–5	25e	"17, 22c"	"breccia, dacite porphyry, quartz feldspar porphyry, rhyolite porphyry"	"basalt, conglomerate, granite, migmatite, syenodiorite"	"andesite, monzodiorite, schist"	2	5.7			4.4	3.8	13.1			
Alcaparrosa		AGTN	Argentina			-18	-31		-22	-69	-69.36666667	-31.3	17				Yes		330	267		0	0	0	0	"Sillitoe, R.H., 1977, Permo-Carboniferous, upper Cretaceous, and Miocene porphyry copper-type mineralization in the Argentinean Andes: Economic Geology, v. 72, p. 99–109.Zappettini, E.O., Godeas, M., and Segal, S., 1999, Mapa metallogenetico de la Republica Argentina, escala 1:2,500,000, 2 fol., in Zappettini, E.O., ed., Recursos minerales de la Republica Argentina: Instituto de Geologia y Recursos Minerales SEGEMAR, Anales 35, Buenos Aires, v. I and v. II—2172 p."	"biotite, chalcopyrite, pyrite"	267			diorite porphyry												
Arroyo Chita	Chita	AGTN	Argentina			-30	-30		-45	-69	-69.75	-30.5	17				Yes		328	12		0	0	0	0	"Sillitoe, R.H., 1977, Permo-Carboniferous, upper Cretaceous, and Miocene porphyry copper-type mineralization in the Argentinean Andes: Economic Geology, v. 72, p. 99–109.Zappettini, E.O., Godeas, M., and Segal, S., 1999, Mapa metallogenetico de la Republica Argentina, escala 1:2,500,000, 2 fol., in Zappettini, E.O., ed., Recursos minerales de la Republica Argentina: Instituto de Geologia y Recursos Minerales SEGEMAR, Anales 35, Buenos Aires, v. I and v. II—2172 p."		12			andesite porphyry												
Bajo de Agua Tapado 		AGTN	Argentina	Catamarca		-16	-27		-39	-66	-66.65	-27.26666667	20c 	1940s			Yes	Thin veins contain up to 2.2 g/t Au; 174 g/t Ag. Exposed. In Farallon Negro volcanic region.	320	8.5		0	0	0	0	"Alderete, M.C., 1999, Bajo de Agua Tapada, Catamarca, in Zappettini, E.O., ed., Recursos minerales de la Republica Argentina: Instituto de Geologia y Recursos Minerales SEGEMAR, Anales 35, Buenos Aires, p. 1475–1478.Clark, A.H., and Arancibia, O.N., 1996, The occurrence, paragenesis and implications of magnetite-rich alteration-mineralization in calc-alkaline porphyry copper deposits, in  Clark, A.H., ed., Giant ore deposits -- II, Department of Geological Sciences, Queen’s University, Kingston, Ontario, p. 583–640.Koukharsky, Magdalena, and Mirré, J.C., 1976, Mi Vida prospect: a porphyry copper-type deposit in northwester Argentina: Economic Geology, v. 71, p. 849–863.  Sasso, A.M., and Clark, A.H., 1998, The Farallón Negro Group, northwest Argentina: magmatic, hydrothermal and tectonic evolution and implications for Cu-Au metallogeny in the Andean back-arc: SEG (Society of Economic Geologists) Newsletter, no. 34, p. 1, 8–18."	"barite, biotite, calcite, chalcopyrite, chlorite, epidote, galena, magnetite, pyrite, sericite, sphalerite"	11–6	22c	25c (3)	"breccia, dacite porphyry"	conglomerate	"andesite, andesite agglomerate, basalt, monzonite"		1.1	1.1	1.3	5.3	1.5	6.2			
Bajo de la Alumbrera		AGTN	Argentina	Catamarca		-19	-27		-37	-66	-66.61666667	-27.31666667	20c	1949	1997			1999 resources: 767 Mt at 0.51% Cu and 0.64 g/t Au. In concentrate: 8 ppb Pt; 35 ppb Pd. Exposed. In Farallon Negro volcanic region.	322	7.5	806	0.53	0	2.5	0.64	"Angera, J.A., 1999, Mina Bajo de la Alumbrera, Catamarca, in Zappettini, E.O., ed., Recursos minerales de la Republica Argentina: Instituto de Geologia y Recursos Minerales SEGEMAR, Anales 35, Buenos Aires, p. 1451–1461.Casaceli, R.J., 1993, The geology and mineral potential of Argentina, in Randol at Acapulco ‘93, Latin American mining opportunities: Golden, Colorado, Randol International, p. 49–66.Clark, A.H., and Arancibia, O.N., 1996, The occurrence, paragenesis and implications of magnetite-rich alteration-mineralization in calc-alcaline porphyry copper deposits, in  Clark, A.H., ed., Giant ore deposits – II, Department of Geological Sciences, Queen’s University, Kingston, Ontario, p. 583–640.  Guilbert, J.M., 1995, Geology, alteration, mineralization, and genesis of the Bajo de la Alumbrera porphyry copper-gold deposit, Catamarca Province, Argentina, in Pierce, F.W., and Bolm, J.G., eds., Porphyry copper deposits of the American Cordillera:  Tucson, Arizona Geological Society Digest 20, p. 646–656.Guilbert, J.M., 2000, El yacimiento de cobre y oro de Bajo de la Alumbrera, Argentina: historia, exploracion y desarrollo de modelos geologicos: Primer volumen de monografias de yacimientos minerales Peruanos. Historia, exploration y geologia: Lima, Instituto de Ingenieros de Minas del Peru, p.155–175. Harris, A.C., Allen, C.M., Bryan, S.E., Campbell, I.H.,Holcombe, R.J., Palin, M.J., 2004, ELA-ICP-MS U–Pb zircon geochronology of regional volcanism hosting the Bajo de la Alumbrera Cu-Au deposit:implications for porphyry-related mineralization: Mineralium Deposita, v. 39, p. 46–67.Muller, D., and Forrestal, P., 1998, The shoshonite porphyry Cu-Au association at Bajo de la Alumbrera, Catamarca province, Argentina: Mineralogy and Petrology, v. 64, p. 47–64. Proffett, J.M., 2003, Geology of the Bajo de la Alumbrera porphyry Cu-(Mo-Au) deposit, Argentina: Economic Geology, v. 98 p. 1535–1574. Sasso, A.M., Clark, A.H.,, and Farrar, E., 1995, Tectonic controls on localization and scale of Upper Miocene Cu-Au porphyry and epithermal centres in a back-arc environment: Farallon Negro, Catamarca, Argentina, Extended Abstract, in Clark, A.H., ed., Giant ore deposits–II: Queen’s University, Kingson, Ontario, Canada, p.127–136.Sasso, A.M., and Clark, A.H., 1998, The Farallón Negro Group, northwest Argentina: magmatic, hydrothermal and tectonic evolution and implications for Cu-Au metallogeny in the Andean back-arc: SEG (Society of Economic Geologists) Newsletter, no. 34, p. 1, 8-18.Sillitoe, R.H., 1981, Regional aspects of the Andean porphyry copper belt in Chile and Argentina: Transactions Institution of Mining and Metallurgy, v. 90, sec. B, p. B15–B36.     Sillitoe, R.H., 1995, Exploration and discovery of base- and precious-metal deposits in the Circum-Pacific region during the last 25 years, (Bajo de La Alumbrera, p. 21–23): Resource Geology Special Issue No. 19, Published by the Society of Resource Geology, Tokyo, 119 p.   Stultz, A., 1985, Geology of the Bajo la Alumbrera porphyry copper and gold prospect, Catamarca Province, Argentina: Tucson, University of Arizona, M.S. thesis, 75 p.Tarkian, M., and Stribrny, B., 1999, Platinum-group elements in porphyry copper deposits: a reconnaissance study: Mineralogy and Petrology, v. 65, p. 161–183. Ulrich, T., and Heinrich, C.A., 2001, Geology and alteration geochemistry of the porphyry Cu-Au deposit at Bajo de la Alumbrera, Argentina: Economic Geology, v. 96, no. 8, p. 1719–1742.Ulrich, T., Günther, D., and Heinrich, C.A., 2001, The evolution of a porphyry Cu-Au deposit, based on LA-ICP-MS analysis of fluid inclusions: Bajo de la Alumbrera, Argentina: Economic Geology, v. 96, no. 8, p. 1743–1774."	"anhydrite/gypsum, apatite, biotite, bornite, chalcocite/digenite, chalcopyrite, chlorite, covellite, epidote, galena, goethite/limonite, gold, hematite/specularite, jarosite, kaolinite/dickite, magnetite, molybdenite, pyrite, sericite, siderite, sphalerite"	8.02±0.14 to 6.93±0.07	20c	"20c (2), 25c (2)"	"dacite porphyry, quartz-feldspar porphyry"	"granite, schist, gneiss"	"andesite, andesite breccia, conglomerate, sandstone, tuff"	2.5 to 2.8 				2.5	1.75	3.4	0.52	1.1	0.6
Bajo de San Lucas		AGTN	Argentina	Catamarca		-24	-27		-33	-66	-66.55	-27.4	17	1975			Yes	"Reported grade range from 0.05 to 0.26% Cu, up to 0.35 g/t Au, 1.65 to 2.5 g/t Ag. Farallon Negro volcanic region"	325	7		0	0	0	0	"Alderete, M.C., 1999, Bajo de San Lucas, Catamarca, in Zappettini, E.O., ed., Recursos minerales de la Republica Argentina: Instituto de Geologia y Recursos Minerales SEGEMAR, Anales 35, Buenos Aires, p. 1471–1473. Clark, A.H., and Arancibia, O.N., 1996, The occurrence, paragenesis and implications of magnetite-rich alteration-mineralization in calc-alcaline porphyry copper deposits, in  Clark, A.H., ed., Giant ore deposits – II, Department of Geological Sciences, Queen’s University, Kingston, Ontario, p. 583–640.  Koukharsky, Magdalena, and Mirré, J.C., 1976, Mi Vida prospect: a porphyry copper-type deposit in northwester Argentina: Economic Geology, v. 71, p. 849–863.Sasso, A.M., and Clark, A.H., 1998, The Farallón Negro Group, northwest Argentina: magmatic, hydrothermal and tectonic evolution and implications for Cu-Au metallogeny in the Andean back-arc: SEG (Society of Economic Geologists) Newsletter, no. 34, p. 1, 8–18.Sillitoe, R.H., 1977, Permo-Carboniferous, upper Cretaceous, and Miocene porphyry copper-type mineralization in the Argentinean Andes: Economic Geology, v. 72, p. 99–109."	"biotite, chalcopyrite, chlorite, delafossite, epidote, gypsum, hematite, magnetite, malachite, molybdenite, pyrite, sericite"	7		20c (2)	"dacite porphyry, monzonite porphyry"		"andesite, granite, diorite porphyry, metasedimentary rocks, phyllite, sandstone, schist"					2.7	2	4.2			
Bajo El Durazno		AGTN	Argentina	Catamarca		-17	-27		-34	-66	-66.56666667	-27.28333333	20c	1976				10% of the deposit area is covered by alluvium. In Farallon Negro volcanic region.	321	8	200	0.32	0	0	0.12	"Alderete, M.C., 1999, Bajo el Durazno, Catamarca, in Zappettini, E.O., ed., Recursos minerales de la Republica Argentina: Instituto de Geologia y Recursos Minerales SEGEMAR, Anales 35, Buenos Aires, p. 1463–1466. Clark, A.H., and Arancibia, O.N., 1996, The occurrence, paragenesis and implications of magnetite-rich alteration-mineralization in calc-alcaline porphyry copper deposits, in  Clark, A.H., ed., Giant ore deposits -- II, Department of Geological Sciences, Queen’s University, Kingston, Ontario, p. 583–640.  Long, K.R., 1995, Production and reserves of Cordilleran (Alaska to Chile) porphyry copper deposits, in Pierce, F.W., and Bolm, J.G., eds., Porphyry copper deposits of the American Cordillera: Tucson, Arizona Geological Society Digest 20, p. 35–68.Sasso, A.M., and Clark, A.H., 1998, The Farallón Negro Group, northwest Argentina: magmatic, hydrothermal and tectonic evolution and implications for Cu-Au metallogeny in the Andean back-arc: SEG (Society of Economic Geologists) Newsletter, no. 34, p. 1, 8–18.Sillitoe, R.H., 1977, Permo-Carboniferous, upper Cretaceous, and Miocene porphyry copper-type mineralization in the Argentinean Andes: Economic Geology, v. 72, p. 99–109."	"biotite, bornite, calcite, chalcopyrite, chlorite, delafossite, galena, gold, malachite, magnetite, molybdenite, pyrite, siderite, sphalerite, tetrahedrite/tennantite"	8		"20c (2), 25c (2)"	"breccia, andesite porphyry"	"dacite porphyry, monzonite porphyry"	"agglomerate, andesite, andesite breccia, basalt"					3	2.3	5.4			
Barcosconte		AGTN	Argentina	Jujuy		-41	-22		-53	-65	-65.88333333	-22.68333333	17				Yes		313			0	0	0	0	"Godeas, M., Cardo, R., Carrizo, R., Zuloeta, C.G., Gonzales, R., Jr., Korzeniewski, L.I., Lopez, H., Mallimacci, H., Martinez, L. Ramallo, E., Valladares, H., and Zubia, M., 1999, Inventario de yasimentos y manifestaciones de minerales metaliferos e industriales de la Republica Argentina, in Zappettini, E.O., ed., Recursos minerales de la Republica Argentina: Instituto de Geologia y Recursos Minerales SEGEMAR, Anales 35, Buenos Aires, p. 1979–2172.Zappettini, E., Miranda-Angles, V., Rodriges, C.S., Palacios, O., Cocking, R., Godeas, M., Uribe-Zeballos, H., Vivallo, A.S., Paz, M.M., Seggiaro, P., Heuschmidt, B., Gardeweg, M., Boulangger, E., Korzeniewski, L.I., Mpodozis, C.M., Carpio, M., Rubiolo, D., 2001, Mapa metalogénico de la región fronteriza entre Argentina, Bolivia, Chile y Perú (14ºS y 28ºS): Servicio Nacional de Geología y Minería, Publicacion Geológica Multinacional No. 2, Santiago de Chile, escala 1:1000000,  222 p., 1 map."	azurite/malachite			22c (2)	dacite porphyry		"sandstone, siltstone"										
Betito	"La Borita, Fenix, Guaayracocha"	AGTN	Argentina	Catamarca		-18	-26		-54	-67	-67.9	-26.3	17				Yes	1.17 Mt at 1% Cu; 0.95% Pb; and 0.17% Zn.	319	14		0	0	0	0	"Godeas, M., Cardo, R., Carrizo, R., Zuloeta, C.G., Gonzales, R., Jr., Korzeniewski, L.I., Lopez, H., Mallimacci, H., Martinez, L. Ramallo, E., Valladares, H., and Zubia, M., 1999, Inventario de yasimentos y manifestaciones de minerales metaliferos e industriales de la Republica Argentina, in Zappettini, E.O., ed., Recursos minerales de la Republica Argentina: Instituto de Geologia y Recursos Minerales SEGEMAR, Anales 35, Buenos Aires, p. 1979–2172.Zappettini, E., Miranda-Angles, V., Rodriges, C.S., Palacios, O., Cocking, R., Godeas, M., Uribe-Zeballos, H., Vivallo, A.S., Paz, M.M., Seggiaro, P., Heuschmidt, B., Gardeweg, M., Boulangger, E., Korzeniewski, L.I., Mpodozis, C.M., Carpio, M., Rubiolo, D., 2001, Mapa metalogénico de la región fronteriza entre Argentina, Bolivia, Chile y Perú (14ºS y 28ºS): Servicio Nacional de Geología y Minería, Publicacion Geológica Multinacional No. 2, Santiago de Chile, escala 1:1000000,  222 p., 1 map."	"atacamite, azurite/malachite, lavendulan [NaCaCu5(AsO4)4Cl.5H2O], phosgenite [Pb2Cl2(CO3)]"	Miocene ?					"argillite, limestone, tuffaceous sandstone, siltstone, tuff"										
