Lon     Lat     H       Tdis    Strike  Dip     AZconv  Vtot    Vc      Age     DesRat  Phi/100 Front   Name                              ArcName
deg     deg     km      km      degN    deg     degN    km/Ma   km/Ma   Ma      km/Ma   km      .       .                                 .
-75.30  5.09    NULL    295     -170    30      77      64.9    59.7    17.0    30.1    5.1     y       CERRO_BRAVO                       Colombia
-75.32  4.89    NULL    290     -170    31      77      65.0    59.9    16.6    30.9    5.1     y       RUIZ                              Colombia
-75.37  4.82    NULL    290     -170    31      77      65.1    60.0    16.5    30.9    5.1     y       SANTA_ISABEL                      Colombia
-75.33  4.67    NULL    295     -165    31      77      65.2    57.6    16.0    29.9    4.8     y       TOLIMA                            Colombia
-75.40  4.48    NULL    290     -165    31      77      65.4    57.8    15.4    29.5    4.5     y       CERRO_MACHIN                      Colombia
-76.05  2.92    NULL    295     -151    38      78      66.5    50.1    12.0    30.5    3.7     y       HUILA                             Colombia
-76.40  2.32    NULL    305     -152    37      78      66.9    51.4    10.8    31.1    3.4     y       PURACE                            Colombia
-76.58  2.12    NULL    310     -152    37      78      67.0    51.6    11.0    31.0    3.4     y       SOTARA                            Colombia
-76.78  1.57    NULL    330     -152    36      79      67.4    52.0    11.0    30.5    3.4     n       PETACAS                           Colombia
-76.92  1.47    NULL    320     -148    36      79      67.5    49.0    11.0    28.5    3.1     y       DONA_JUANA                        Colombia
-77.37  1.22    NULL    300     -150    35      79      67.6    51.0    11.1    29.0    3.2     y       GALERAS                           Colombia
-77.68  1.08    NULL    280     -150    34      79      67.7    51.2    11.2    28.6    3.2     y       VOLCAN_AZUFRAL                    Colombia
-77.88  0.98    NULL    270     -150    33      79      67.7    51.3    11.4    28.1    3.2     y       CUMBAL                            Colombia
-77.96  0.83    NULL    270     -150    33      79      67.8    51.5    11.7    27.8    3.2     y       CERRO_NEGRO_DE_MAYASQUER          Colombia
-77.58  0.55    NULL    325     -153    32      79      68.1    53.8    13.0    28.4    3.7     n       SOCHE                             Colombia
-78.36  0.31    NULL    265     -160    28      80      68.2    58.8    13.6    27.5    3.7     y       CUICOCHA                          Colombia
-78.27  0.13    NULL    285     -163    27      80      68.3    60.7    14.2    27.4    3.9     n       MOJANDA                           Colombia
