# Seismic determinations of Moho depth from Assumpcao et al. (2013) as provided
# by Leonardo Uieda.
# This file was modified by Peter Haas (Kiel University):
# + Some receiver function points in Brazil were added (Luz and do Nascimento 2015)
# + Some Andean points based on gravity were removed 
# 
# References
# ----------
# 1. Assumpção, Marcelo; Feng, Mei; Tassara, Andrés; Julià, Jordi (2013): 
# Models of crustal thickness for South America from seismic refraction, 
# receiver functions and surface wave tomography. In: Tectonophysics 609, 
# p. 82–96. DOI: 10.1016/j.tecto.2012.11.014.
# 2. Uieda: https://github.com/pinga-lab/paper-moho-inversion-tesseroids/tree/master/data
# 3. Luz, R.M.N.; Julià, J.; do Nascimento, A. F. (2015): Bulk crustal properties of the 
# Borborema Province, NE Brazil, from P-wave receiver functions. Implications for models of 
# intraplate Cenozoic uplift. In: Tectonophysics 644-645, S. 81–91. 
# DOI: 10.1016/j.tecto.2014.12.017.
# 
# Description
# -----------
# Columns: Longitude, latitude, Moho depth [m]: negative down

-37.045,-9.0387,-34062
-50.233,-19.739,-42990
-52.025,-18.547,-47000
-52.074,-18.508,-45543
-55.699,-20.476,-32835
-51.808,-15.665,-30280
-46.123,-21.363,-39340
-42.861,-21.29,-40960
-59.414,-1.9156,-41629
-46.031,-20.04,-39960
-43.801,-21.222,-37000
-48.015,-15.642,-40975
-48.444,-1.4503,-44768
-48.508,-21.082,-39229
-44.149,-19.987,-42143
-45.585,-22.535,-38280
-44.764,-20.999,-36885
-46.733,-21.68,-40149
-41.429,-21.784,-35062
-50.378,-22.968,-42628
-51.016,-22.813,-42030
-36.01,-8.1769,-33831
-36.009,-8.1768,-33357
-51.213,-18.425,-43316
-44.718,-20.236,-39270
-52.839,-18.765,-39928
-54.169,-19.579,-41720
-48.689,-17.743,-38240
-57.331,-26.331,-34115
-50.155,-6.1702,-37023
-44.582,-13.432,-39558
-38.671,-5.4945,-30670
-47.377,-13.814,-41189
-47.224,-13.757,-39227
-46.01,-23.69,-33755
-45.639,-20.488,-36045
-46.278,-20.678,-39080
-49.086,-15.264,-42121
-48.814,-21.777,-41690
-46.116,-23.252,-33503
-47.608,-1.1272,-36125
-47.714,-20,-42219
-52.341,-27.308,-43741
-39.628,-15.989,-40493
-51.493,-17.893,-43003
-43.326,-21.728,-40634
-44.505,-15.468,-38388
-47.716,-24.093,-38686
-42.004,-21.055,-40955
-54.184,-21.434,-39456
-49.558,-28.61,-37995
-47.593,-19.375,-39510
-47.686,-20.663,-42712
-48.931,-20.879,-43920
-51.262,-21.607,-44103
-45.622,-23.338,-34593
-50.863,-15.137,-33590
-39.124,-12.531,-38010
-52.837,-22.456,-44847
-49.079,-13.33,-36045
-54.88,-17.6,-32857
-51.314,-22.033,-41810
-46.819,-17.27,-40213
-57.476,-21.463,-43660
-47.531,-22.419,-40480
-47.531,-22.419,-42770
-47.502,-20.074,-44140
